Date,Open,High,Low,Close,Adj Close,Volume
2021-12-20,382.619995,382.950012,366.450012,370.570007,370.570007,2210800
2021-12-21,376.070007,385.220001,375.070007,383.309998,383.309998,1664500
2021-12-22,385.269989,390.910004,383.519989,388.790009,388.790009,1104900
2021-12-23,389.01001,392.529999,383.470001,391.559998,391.559998,906600
2021-12-27,392.980011,401.920013,392.980011,400.75,400.75,926700
2021-12-28,405.959991,406,400,400.070007,400.070007,953600
2021-12-29,400.299988,403,400,401,401,742600
2021-12-30,401.519989,405.399994,398.5,398.690002,398.690002,936500
2021-12-31,400,401.970001,391.269989,391.450012,391.450012,1066000
2022-01-03,392.200012,394.48999,380.609985,387.559998,387.559998,1321900
2022-01-04,387.23999,389.709991,376.01001,380.820007,380.820007,1199600
2022-01-05,381.160004,381.160004,362.209991,362.480011,362.480011,1543600
2022-01-06,358.929993,371.420013,355.679993,368.769989,368.769989,1660200
2022-01-07,366.040009,366.98999,354.320007,355.209991,355.209991,2212200
2022-01-10,329.950012,349.579987,323.5,348.429993,348.429993,4235900
2022-01-11,345.809998,347.48999,337.049988,346.75,346.75,1703100
2022-01-12,348.859985,354.440002,345.480011,352.720001,352.720001,1461600
2022-01-13,353.899994,354.850006,335.730011,336.269989,336.269989,1479400
2022-01-14,333.5,335.480011,325.730011,328.980011,328.980011,1850400
2022-01-18,325.070007,336.329987,324,332.529999,332.529999,1376300
2022-01-19,334.380005,338.100006,329.019989,330.950012,330.950012,997000
2022-01-20,334.5,340.290009,321.649994,322.529999,322.529999,1362500
2022-01-21,321.5,324,312.660004,313.019989,313.019989,1731600
2022-01-24,308.190002,322.390015,296.190002,321.619995,321.619995,2444700
2022-01-25,313.01001,315.799988,305.119995,308.829987,308.829987,1347900
2022-01-26,313.5,319.76001,299.170013,302.76001,302.76001,1457500
2022-01-27,307.839996,312.429993,304.450012,306.519989,306.519989,1421800
2022-01-28,303.26001,316.329987,301.600006,315.910004,315.910004,1348400
2022-01-31,317.339996,334.079987,316.410004,333.76001,333.76001,1903700
2022-02-01,335.480011,346.130005,333.390015,344.910004,344.910004,1818600
2022-02-02,348.859985,353.619995,344.399994,349.190002,349.190002,2267600
2022-02-03,338,345.480011,329.25,330.350006,330.350006,1664300
2022-02-04,329.75,339.519989,329.75,336.369995,336.369995,949900
2022-02-07,336.369995,338.809998,327.809998,332.200012,332.200012,840300
2022-02-08,331.690002,336.140015,327.649994,334.399994,334.399994,665500
2022-02-09,339.209991,343.570007,335,339.640015,339.640015,703200
2022-02-10,332.049988,343.920013,331.179993,334.350006,334.350006,1186400
2022-02-11,333.209991,336.100006,315.630005,316.720001,316.720001,1244200
2022-02-14,316.140015,320.26001,309.970001,313.640015,313.640015,1121900
2022-02-15,320.910004,322.709991,315.109985,318.149994,318.149994,825500
2022-02-16,316.459991,321.23999,312.019989,320.040009,320.040009,783800
2022-02-17,317.459991,321.149994,309.589996,310.029999,310.029999,710300
2022-02-18,313.23999,315.420013,307.01001,308.660004,308.660004,822300
2022-02-22,306.570007,311.589996,300.929993,304.579987,304.579987,1291700
2022-02-23,309.200012,309.519989,295.170013,295.23999,295.23999,997400
2022-02-24,285.779999,311.140015,283.209991,310.359985,310.359985,1507200
2022-02-25,310,318.420013,305.290009,317.579987,317.579987,937000
2022-02-28,312.420013,320.429993,311.329987,319.940002,319.940002,1284700
2022-03-01,321.109985,326.019989,313.299988,315.179993,315.179993,1236600
2022-03-02,317.390015,330.779999,316.76001,330.070007,330.070007,1360900
2022-03-03,330.660004,331.5,320.5,322.839996,322.839996,1094100
2022-03-04,321.26001,323.98999,314.540009,320.579987,320.579987,1131000
2022-03-07,322.630005,324.470001,301.869995,302.380005,302.380005,1452500
2022-03-08,301.859985,306.01001,292.190002,296.519989,296.519989,1637300
2022-03-09,305.920013,306.790009,301.220001,305.820007,305.820007,1574300
2022-03-10,300,303.980011,297.519989,301.73999,301.73999,934700
2022-03-11,306.130005,306.130005,291.380005,291.549988,291.549988,978400
2022-03-14,290.670013,293.76001,283,289.23999,289.23999,1459100
2022-03-15,284.130005,293.01001,278,289.920013,289.920013,1734300
2022-03-16,297.119995,306.390015,292.25,305.100006,305.100006,1252200
2022-03-17,304.029999,309.769989,300.220001,307.600006,307.600006,858800
2022-03-18,304.910004,317.529999,304.75,316.929993,316.929993,1272400
2022-03-21,316.079987,317.029999,303.5,308.220001,308.220001,1043000
2022-03-22,313.290009,318.5,311.709991,315.029999,315.029999,1181000
2022-03-23,313.380005,315.769989,308.179993,310.420013,310.420013,975100
